flight_id,departure_time,airline,origin_airport,destination_airport,origin_lat,origin_lon,dest_lat,dest_lon,flight_class,distance_km,scheduled_duration_min,actual_duration_min,delay_min,ticket_price_usd,passengers,on_time,cancellation_reason
FL9051,2023-07-26 - 01:52:03,Delta,ORD,JFK,41.9742,-87.9073,40.6413,-73.7781,Economy,12574.0,566,308.0,41.0,462.74,86,Yes,
FL9356,2024-05-11 - 19:59:03,British Airways,JFK,CDG,40.6413,-73.7781,49.0097,2.5479,Business,13056.0,183,680.0,22.0,894.25,127,No,
FL5674,2023-10-20 - 21:06:18,Emirates,LAX,CDG,33.9425,-118.4081,49.0097,2.5479,Economy,11336.0,82,454.0,0.0,209.5,196,Early,
FL9387,2023-11-28 - 02:53:41,American,LAX,DXB,33.9425,-118.4081,25.2532,55.3657,First,4966.0,602,,0.0,207.15,221,Early,
FL6016,2024-02-13 - 19:36:39,American,LAX,LHR,33.9425,-118.4081,51.47,-0.4543,Economy,6138.0,805,207.0,0.0,1557.38,341,No,
FL5000,2024-06-16 - 22:47:09,American,CDG,FRA,49.0097,2.5479,50.0379,8.5622,Economy,10455.0,430,,5.0,434.66,128,No,
FL5173,2023-11-08 - 16:42:57,United,CDG,JFK,49.0097,2.5479,40.6413,-73.7781,First,2226.0,255,303.0,30.0,247.63,146,No,
FL4741,2024-02-27 - 11:23:34,British Airways,CDG,SYD,49.0097,2.5479,-33.9399,151.1753,Economy,7256.0,277,,21.0,839.03,137,Yes,
FL8589,2023-05-31 - 05:36:11,Emirates,SYD,LAX,-33.9399,151.1753,33.9425,-118.4081,Economy,4010.0,400,945.0,88.0,332.92,402,Yes,Technical
FL8901,2023-01-09 - 19:14:14,British Airways,SIN,ORD,1.3644,103.9915,41.9742,-87.9073,First,10518.0,814,,1.0,245.12,156,Early,
FL9046,2024-02-28 - 09:14:42,British Airways,SYD,JFK,-33.9399,151.1753,40.6413,-73.7781,Business,3314.0,164,754.0,77.0,104.58,331,Yes,
FL3874,2024-04-01 - 18:29:24,Emirates,NRT,DXB,35.772,140.3929,25.2532,55.3657,Economy,12617.0,277,882.0,21.0,143.43,233,Yes,
FL9727,2024-01-03 - 12:58:49,British Airways,ORD,DXB,41.9742,-87.9073,25.2532,55.3657,Economy,2702.0,77,128.0,27.0,152.26,391,Yes,
FL5939,2024-02-08 - 01:12:50,British Airways,LAX,CDG,33.9425,-118.4081,49.0097,2.5479,Economy,1631.0,220,,3.0,,117,No,
FL5149,2023-06-09 - 22:41:33,Delta,JFK,LHR,40.6413,-73.7781,51.47,-0.4543,Economy,11541.0,682,426.0,21.0,320.19,250,No,
FL4693,2024-01-09 - 14:39:41,Lufthansa,CDG,JFK,49.0097,2.5479,40.6413,-73.7781,Economy,4012.0,670,,46.0,906.76,308,No,
FL5351,2024-06-24 - 20:10:16,American,DXB,LHR,25.2532,55.3657,51.47,-0.4543,Economy,14604.0,649,855.0,6.0,267.74,348,Early,
FL8087,2024-03-19 - 09:59:31,American,JFK,LHR,40.6413,-73.7781,51.47,-0.4543,First,3394.0,787,390.0,9.0,549.08,180,No,
FL9476,2024-05-21 - 13:04:26,Emirates,JFK,LAX,40.6413,-73.7781,33.9425,-118.4081,Economy,14129.0,574,603.0,2.0,,230,No,
FL7060,2024-04-30 - 07:11:26,United,FRA,NRT,50.0379,8.5622,35.772,140.3929,Economy,8121.0,677,763.0,0.0,464.84,311,Yes,
FL7464,2023-03-19 - 02:08:52,Lufthansa,CDG,NRT,49.0097,2.5479,35.772,140.3929,Business,11332.0,394,511.0,18.0,3588.62,335,Yes,
FL8516,2023-06-18 - 03:21:42,Emirates,SYD,LAX,-33.9399,151.1753,33.9425,-118.4081,Economy,1675.0,99,854.0,3.0,925.04,151,Yes,
FL5671,2023-07-10 - 21:39:55,Lufthansa,SYD,ORD,-33.9399,151.1753,41.9742,-87.9073,Economy,8208.0,871,492.0,0.0,156.21,115,No,
FL7600,2023-11-26 - 07:11:26,Emirates,NRT,CDG,35.772,140.3929,49.0097,2.5479,Economy,8252.0,356,323.0,62.0,404.51,226,Yes,
FL9920,2023-11-25 - 23:54:23,Lufthansa,SYD,ORD,-33.9399,151.1753,41.9742,-87.9073,Business,9938.0,360,388.0,0.0,,357,Yes,
FL4532,2023-11-14 - 18:23:48,British Airways,LAX,LHR,33.9425,-118.4081,51.47,-0.4543,Business,13515.0,440,603.0,0.0,321.8,390,Yes,
FL7675,2024-02-04 - 02:31:17,Air France,SYD,ORD,-33.9399,151.1753,41.9742,-87.9073,Economy,11002.0,155,654.0,0.0,555.75,157,Yes,
FL1484,2023-09-25 - 09:14:42,Ryanair,SYD,CDG,-33.9399,151.1753,49.0097,2.5479,Economy,14263.0,427,700.0,31.0,166.49,282,Yes,
FL1250,2024-04-02 - 01:46:27,United,DXB,SYD,25.2532,55.3657,-33.9399,151.1753,Economy,1508.0,224,652.0,53.0,602.9,179,Early,
FL1615,2024-01-22 - 08:35:29,Air France,ORD,LHR,41.9742,-87.9073,51.47,-0.4543,Economy,13517.0,264,382.0,40.0,1197.85,409,Early,
FL7644,2023-11-15 - 16:14:56,Delta,LAX,JFK,33.9425,-118.4081,40.6413,-73.7781,Business,12657.0,153,719.0,29.0,613.08,120,No,
FL4895,2024-02-02 - 06:49:01,British Airways,SIN,CDG,1.3644,103.9915,49.0097,2.5479,Business,13084.0,760,274.0,0.0,396.8,200,No,
FL6688,2023-04-03 - 13:38:03,Air France,NRT,FRA,35.772,140.3929,50.0379,8.5622,Economy,8643.0,882,824.0,0.0,941.88,206,Yes,
FL4945,2023-04-11 - 11:01:10,Air France,LHR,FRA,51.47,-0.4543,50.0379,8.5622,Economy,6608.0,268,542.0,108.0,2143.41,97,No,
FL3445,2023-11-13 - 13:15:38,Emirates,LHR,SYD,51.47,-0.4543,-33.9399,151.1753,Business,12200.0,638,507.0,13.0,206.09,265,No,
FL1710,2023-01-20 - 17:27:46,Emirates,CDG,ORD,49.0097,2.5479,41.9742,-87.9073,Business,7010.0,92,674.0,18.0,171.64,286,No,
FL3958,2023-11-30 - 20:27:04,United,FRA,LHR,50.0379,8.5622,51.47,-0.4543,Business,10308.0,798,754.0,11.0,228.44,250,Yes,
FL3854,2024-05-22 - 03:38:31,American,NRT,DXB,35.772,140.3929,25.2532,55.3657,Economy,5238.0,401,82.0,70.0,559.52,386,Yes,
FL4760,2024-02-14 - 02:53:41,American,DXB,SYD,25.2532,55.3657,-33.9399,151.1753,Business,5690.0,620,447.0,15.0,,300,No,
FL9186,2023-03-05 - 17:38:59,United,NRT,LHR,35.772,140.3929,51.47,-0.4543,Economy,6689.0,205,226.0,0.0,797.52,385,Yes,
FL5802,2023-03-03 - 14:39:41,Ryanair,NRT,SIN,35.772,140.3929,1.3644,103.9915,Economy,13843.0,299,480.0,0.0,1056.96,398,Yes,
FL1119,2023-04-09 - 08:01:52,Ryanair,DXB,ORD,25.2532,55.3657,41.9742,-87.9073,Economy,5885.0,487,176.0,0.0,562.63,102,Yes,
FL9836,2023-08-09 - 15:30:07,United,FRA,SYD,50.0379,8.5622,-33.9399,151.1753,Economy,10002.0,445,671.0,0.0,74.6,189,Yes,
FL2556,2023-09-30 - 13:04:26,Emirates,LHR,CDG,51.47,-0.4543,49.0097,2.5479,Economy,2284.0,560,207.0,18.0,2629.76,321,Early,
FL9735,2023-02-03 - 01:57:39,Lufthansa,ORD,NRT,41.9742,-87.9073,35.772,140.3929,Economy,13398.0,183,291.0,17.0,382.35,322,No,
FL6630,2023-08-23 - 07:17:02,United,LHR,FRA,51.47,-0.4543,50.0379,8.5622,Economy,2575.0,441,233.0,23.0,540.97,295,Early,
FL5118,2023-03-13 - 22:19:08,Lufthansa,DXB,SYD,25.2532,55.3657,-33.9399,151.1753,Economy,13542.0,368,656.0,2.0,530.65,135,Early,
FL2551,2023-04-06 - 21:45:31,Ryanair,SYD,DXB,-33.9399,151.1753,25.2532,55.3657,Economy,9593.0,662,354.0,0.0,640.86,153,Yes,
FL6825,2023-11-24 - 04:12:08,American,ORD,FRA,41.9742,-87.9073,50.0379,8.5622,Economy,3707.0,325,930.0,46.0,2764.69,414,Yes,
FL7624,2023-08-01 - 10:49:57,Delta,SIN,LHR,1.3644,103.9915,51.47,-0.4543,Economy,3478.0,276,585.0,19.0,134.81,101,Yes,
FL5511,2023-07-15 - 03:38:31,British Airways,CDG,NRT,49.0097,2.5479,35.772,140.3929,Economy,11351.0,851,550.0,0.0,767.5,168,No,
FL3982,2024-02-10 - 11:29:10,Delta,LAX,NRT,33.9425,-118.4081,35.772,140.3929,Business,10368.0,234,396.0,11.0,148.42,249,Early,
FL4680,2023-05-07 - 06:09:48,British Airways,DXB,CDG,25.2532,55.3657,49.0097,2.5479,Economy,689.0,507,587.0,43.0,211.74,172,Yes,
FL1126,2023-05-26 - 01:46:27,Delta,FRA,CDG,50.0379,8.5622,49.0097,2.5479,Economy,12463.0,538,279.0,0.0,643.12,356,Yes,
FL9580,2024-05-07 - 06:43:25,Emirates,LHR,SYD,51.47,-0.4543,-33.9399,151.1753,Economy,6820.0,444,162.0,2.0,411.59,258,No,
FL5995,2023-12-07 - 05:24:58,American,LAX,NRT,33.9425,-118.4081,35.772,140.3929,Economy,3115.0,168,,15.0,214.69,146,Yes,
FL3816,2023-09-02 - 22:13:32,Delta,CDG,SYD,49.0097,2.5479,-33.9399,151.1753,Economy,8440.0,345,356.0,0.0,216.85,318,Yes,
FL4582,2023-06-24 - 12:19:36,American,LHR,CDG,51.47,-0.4543,49.0097,2.5479,Business,2514.0,351,889.0,,950.94,398,No,
FL9162,2024-01-09 - 07:22:38,United,JFK,SYD,40.6413,-73.7781,-33.9399,151.1753,Business,13577.0,602,534.0,20.0,352.69,176,No,
FL8221,2023-06-06 - 00:00:00,Ryanair,JFK,LHR,40.6413,-73.7781,51.47,-0.4543,Business,6976.0,323,706.0,26.0,504.12,393,Early,
FL2228,2023-08-03 - 13:49:15,Ryanair,JFK,SIN,40.6413,-73.7781,1.3644,103.9915,First,14599.0,790,117.0,12.0,116.94,268,Yes,Weather
FL5037,2023-05-13 - 22:24:44,Lufthansa,SYD,SIN,-33.9399,151.1753,1.3644,103.9915,Business,6177.0,643,499.0,36.0,226.26,198,Yes,
FL4819,2024-06-10 - 21:06:18,Emirates,LAX,NRT,33.9425,-118.4081,35.772,140.3929,Business,10789.0,630,,,284.78,408,Yes,
FL2660,2023-10-24 - 05:13:46,Lufthansa,DXB,ORD,25.2532,55.3657,41.9742,-87.9073,Economy,10815.0,677,658.0,28.0,371.05,198,Early,
FL8547,2023-02-03 - 16:31:45,Air France,LHR,CDG,51.47,-0.4543,49.0097,2.5479,Business,6674.0,221,285.0,3.0,588.41,224,Yes,
FL4417,2023-02-22 - 12:08:24,British Airways,ORD,FRA,41.9742,-87.9073,50.0379,8.5622,Business,7021.0,467,290.0,0.0,477.24,262,Early,
FL4631,2023-07-06 - 08:24:16,British Airways,SIN,NRT,1.3644,103.9915,35.772,140.3929,Business,7962.0,809,,29.0,773.99,244,No,
FL4828,2023-09-21 - 17:50:11,Ryanair,JFK,ORD,40.6413,-73.7781,41.9742,-87.9073,Business,14512.0,527,,0.0,538.45,207,Yes,
FL8845,2024-04-11 - 04:17:44,Delta,SIN,SYD,1.3644,103.9915,-33.9399,151.1753,Economy,3596.0,329,588.0,44.0,132.17,113,Yes,
FL5343,2023-01-22 - 05:52:59,United,LAX,NRT,33.9425,-118.4081,35.772,140.3929,Economy,9728.0,308,586.0,0.0,,283,Early,
FL6855,2023-12-14 - 04:56:57,American,FRA,LAX,50.0379,8.5622,33.9425,-118.4081,Economy,11449.0,708,454.0,0.0,142.57,150,No,
FL5427,2023-06-20 - 06:21:00,Ryanair,DXB,FRA,25.2532,55.3657,50.0379,8.5622,Economy,5741.0,305,214.0,0.0,1027.11,391,No,
FL2517,2023-07-26 - 09:09:06,Emirates,CDG,LAX,49.0097,2.5479,33.9425,-118.4081,Economy,6237.0,395,676.0,0.0,418.35,174,Yes,
FL2774,2024-02-25 - 01:07:14,Emirates,NRT,DXB,35.772,140.3929,25.2532,55.3657,Economy,4956.0,232,803.0,24.0,503.61,415,Yes,
FL2694,2023-06-28 - 11:01:10,American,FRA,ORD,50.0379,8.5622,41.9742,-87.9073,Business,3521.0,474,,0.0,414.59,306,Yes,Technical
FL1260,2023-12-25 - 10:27:32,Lufthansa,NRT,SYD,35.772,140.3929,-33.9399,151.1753,Economy,14923.0,654,315.0,0.0,132.81,361,Yes,
FL6448,2023-09-17 - 11:51:35,United,DXB,ORD,25.2532,55.3657,41.9742,-87.9073,Economy,4026.0,373,675.0,6.0,139.11,257,No,
FL4138,2024-02-16 - 20:27:04,Air France,FRA,LAX,50.0379,8.5622,33.9425,-118.4081,Economy,1758.0,256,784.0,0.0,832.58,353,Yes,
FL4700,2023-03-08 - 18:29:24,British Airways,DXB,JFK,25.2532,55.3657,40.6413,-73.7781,Economy,9516.0,570,452.0,0.0,1049.58,383,No,
FL7963,2023-12-08 - 10:33:09,Ryanair,SIN,CDG,1.3644,103.9915,49.0097,2.5479,Economy,13121.0,878,583.0,24.0,625.92,106,No,Weather
FL6540,2023-08-21 - 18:51:49,Air France,LHR,NRT,51.47,-0.4543,35.772,140.3929,Business,8294.0,204,,0.0,259.76,328,No,
FL7896,2023-10-27 - 13:21:14,Delta,CDG,JFK,49.0097,2.5479,40.6413,-73.7781,Business,11815.0,505,190.0,29.0,392.33,188,Early,
FL4892,2023-02-10 - 23:20:46,British Airways,FRA,CDG,50.0379,8.5622,49.0097,2.5479,Economy,9191.0,62,735.0,44.0,492.46,322,Yes,
FL5334,2023-08-06 - 00:05:36,Lufthansa,ORD,CDG,41.9742,-87.9073,49.0097,2.5479,Economy,10798.0,861,340.0,6.0,91.43,219,Yes,
FL2790,2023-10-20 - 06:32:13,Lufthansa,SYD,LAX,-33.9399,151.1753,33.9425,-118.4081,Business,885.0,254,461.0,9.0,621.97,366,No,
FL4733,2023-07-05 - 10:33:09,American,CDG,JFK,49.0097,2.5479,40.6413,-73.7781,Economy,8520.0,393,150.0,21.0,1039.27,154,Early,
FL2373,2024-04-19 - 01:40:51,Delta,SYD,LHR,-33.9399,151.1753,51.47,-0.4543,Business,8618.0,647,256.0,0.0,243.09,81,Yes,
FL1391,2024-05-19 - 10:05:08,American,ORD,DXB,41.9742,-87.9073,25.2532,55.3657,Economy,4741.0,587,,38.0,,327,No,
FL6902,2023-01-07 - 23:31:59,Delta,ORD,CDG,41.9742,-87.9073,49.0097,2.5479,Economy,5365.0,357,,0.0,536.74,163,No,
FL8590,2024-03-30 - 15:30:07,Air France,JFK,FRA,40.6413,-73.7781,50.0379,8.5622,Economy,2946.0,487,867.0,0.0,300.25,355,No,
FL3827,2024-01-27 - 12:25:12,Air France,NRT,CDG,35.772,140.3929,49.0097,2.5479,Economy,11423.0,61,284.0,0.0,393.67,109,Yes,
FL1610,2023-06-10 - 13:15:38,Air France,FRA,NRT,50.0379,8.5622,35.772,140.3929,Economy,4892.0,606,833.0,7.0,1162.12,93,Yes,
FL9645,2024-01-22 - 15:52:31,Emirates,CDG,ORD,49.0097,2.5479,41.9742,-87.9073,Economy,9619.0,125,,16.0,473.26,393,Yes,
FL9442,2024-04-17 - 13:15:38,British Airways,CDG,SIN,49.0097,2.5479,1.3644,103.9915,Economy,14659.0,692,,41.0,966.36,157,No,
FL5472,2024-01-05 - 08:41:05,Lufthansa,LHR,LAX,51.47,-0.4543,33.9425,-118.4081,Economy,12221.0,855,284.0,0.0,387.01,398,Yes,
FL3533,2023-08-12 - 09:03:30,Lufthansa,ORD,LAX,41.9742,-87.9073,33.9425,-118.4081,Business,6619.0,490,299.0,2.0,782.3,107,Early,
FL7269,2023-09-12 - 08:01:52,Lufthansa,FRA,NRT,50.0379,8.5622,35.772,140.3929,Economy,1955.0,853,463.0,0.0,,303,Yes,
FL4556,2024-02-18 - 23:26:22,American,JFK,SIN,40.6413,-73.7781,1.3644,103.9915,Business,10641.0,665,218.0,21.0,61.21,169,No,
FL8229,2024-01-19 - 07:45:03,Ryanair,ORD,LHR,41.9742,-87.9073,51.47,-0.4543,First,14286.0,340,685.0,0.0,840.03,238,No,
FL2451,2023-04-17 - 05:24:58,British Airways,CDG,FRA,49.0097,2.5479,50.0379,8.5622,Economy,9719.0,61,420.0,6.0,254.37,224,No,
FL6105,2024-03-20 - 22:24:44,United,SYD,LAX,-33.9399,151.1753,33.9425,-118.4081,Economy,6918.0,454,795.0,20.0,163.61,225,Yes,
FL5249,2023-10-31 - 12:02:48,Ryanair,FRA,JFK,50.0379,8.5622,40.6413,-73.7781,Economy,8333.0,156,725.0,0.0,307.76,265,Early,
FL9627,2023-12-21 - 11:45:59,Delta,NRT,JFK,35.772,140.3929,40.6413,-73.7781,Economy,3373.0,549,397.0,30.0,495.14,293,Yes,
FL7858,2023-07-04 - 19:59:03,Air France,FRA,JFK,50.0379,8.5622,40.6413,-73.7781,Economy,5148.0,705,817.0,71.0,374.21,287,Early,Crew
FL3619,2023-06-10 - 20:32:41,American,SIN,ORD,1.3644,103.9915,41.9742,-87.9073,Economy,9061.0,95,465.0,0.0,436.41,300,Yes,
FL7269,2024-06-02 - 16:26:08,Ryanair,LHR,CDG,51.47,-0.4543,49.0097,2.5479,Economy,8252.0,357,409.0,3.0,635.49,397,Early,
FL9987,2023-05-11 - 04:51:21,British Airways,SIN,LAX,1.3644,103.9915,33.9425,-118.4081,Business,6230.0,361,732.0,0.0,683.66,206,Yes,
FL3225,2023-11-24 - 11:29:10,United,ORD,FRA,41.9742,-87.9073,50.0379,8.5622,Economy,14381.0,846,183.0,11.0,130.33,210,Yes,
FL5332,2024-06-20 - 06:54:37,United,NRT,DXB,35.772,140.3929,25.2532,55.3657,Economy,14194.0,249,439.0,,1538.36,418,Yes,
FL9836,2024-03-23 - 15:58:07,United,NRT,CDG,35.772,140.3929,49.0097,2.5479,Economy,578.0,870,108.0,27.0,692.27,207,No,
FL6009,2023-10-12 - 23:43:11,Emirates,LHR,DXB,51.47,-0.4543,25.2532,55.3657,First,6025.0,656,556.0,0.0,249.15,361,Yes,
FL4189,2023-03-18 - 04:17:44,Air France,LAX,LHR,33.9425,-118.4081,51.47,-0.4543,Economy,14263.0,849,,45.0,713.24,298,Yes,
FL7912,2023-06-19 - 01:12:50,Air France,LHR,FRA,51.47,-0.4543,50.0379,8.5622,Business,11254.0,440,602.0,13.0,130.54,241,No,Weather
FL3040,2024-02-24 - 17:50:11,Air France,FRA,LHR,50.0379,8.5622,51.47,-0.4543,Economy,1250.0,530,621.0,3.0,232.66,179,Yes,
FL4544,2024-03-10 - 22:02:20,Emirates,NRT,DXB,35.772,140.3929,25.2532,55.3657,Business,6475.0,421,762.0,0.0,125.58,239,Yes,
FL9031,2024-06-03 - 07:00:14,United,SYD,JFK,-33.9399,151.1753,40.6413,-73.7781,Economy,5590.0,134,688.0,0.0,369.56,333,Yes,
FL8324,2023-07-07 - 06:15:24,United,ORD,FRA,41.9742,-87.9073,50.0379,8.5622,Business,13041.0,612,,2.0,660.26,234,Yes,
FL4009,2023-02-04 - 21:39:55,Delta,LHR,LAX,51.47,-0.4543,33.9425,-118.4081,Economy,4710.0,365,233.0,,479.49,154,No,
FL8625,2023-10-05 - 09:37:07,Delta,NRT,FRA,35.772,140.3929,50.0379,8.5622,Business,6574.0,224,777.0,5.0,1322.48,104,No,
FL7431,2023-08-17 - 20:10:16,United,JFK,NRT,40.6413,-73.7781,35.772,140.3929,Economy,14308.0,72,422.0,0.0,399.97,133,Yes,
FL3741,2023-08-14 - 19:19:50,Ryanair,DXB,NRT,25.2532,55.3657,35.772,140.3929,Business,1577.0,664,560.0,0.0,115.66,272,Yes,
FL7543,2023-04-21 - 18:40:37,Emirates,FRA,SIN,50.0379,8.5622,1.3644,103.9915,First,714.0,783,169.0,0.0,27.57,335,Yes,
FL5093,2024-01-21 - 03:27:18,British Airways,NRT,JFK,35.772,140.3929,40.6413,-73.7781,Economy,13343.0,560,832.0,0.0,583.84,143,Yes,
FL3887,2023-04-17 - 12:42:01,United,CDG,SYD,49.0097,2.5479,-33.9399,151.1753,Economy,7665.0,61,,0.0,865.14,279,No,Operational
FL7452,2023-05-28 - 12:02:48,British Airways,NRT,SYD,35.772,140.3929,-33.9399,151.1753,Economy,12338.0,400,732.0,0.0,1110.38,401,Yes,
FL7670,2023-07-23 - 08:18:40,Delta,JFK,ORD,40.6413,-73.7781,41.9742,-87.9073,Economy,13156.0,167,848.0,40.0,166.15,311,No,
FL8591,2024-03-18 - 12:08:24,Delta,NRT,LHR,35.772,140.3929,51.47,-0.4543,Economy,2523.0,206,360.0,20.0,126.27,375,Yes,
FL3795,2024-04-05 - 02:36:53,American,ORD,CDG,41.9742,-87.9073,49.0097,2.5479,Business,7321.0,549,839.0,0.0,403.25,296,No,
FL4272,2024-01-20 - 20:10:16,Emirates,DXB,ORD,25.2532,55.3657,41.9742,-87.9073,Economy,1528.0,680,380.0,4.0,641.83,156,No,
FL9197,2024-05-23 - 08:46:41,Lufthansa,JFK,NRT,40.6413,-73.7781,35.772,140.3929,Economy,3117.0,744,816.0,0.0,188.33,216,No,
FL7433,2024-03-02 - 10:05:08,Air France,SYD,CDG,-33.9399,151.1753,49.0097,2.5479,Economy,4025.0,641,612.0,39.0,410.44,293,Yes,
FL6499,2024-05-06 - 23:26:22,American,DXB,FRA,25.2532,55.3657,50.0379,8.5622,Economy,11111.0,800,238.0,0.0,211.67,232,Yes,
FL6620,2023-04-13 - 21:17:30,British Airways,ORD,LAX,41.9742,-87.9073,33.9425,-118.4081,Economy,7928.0,408,732.0,0.0,77.88,188,No,
FL8202,2023-09-06 - 20:55:05,Emirates,FRA,CDG,50.0379,8.5622,49.0097,2.5479,Economy,7039.0,785,432.0,8.0,146.09,359,Yes,
FL7078,2023-04-20 - 13:32:27,United,CDG,NRT,49.0097,2.5479,35.772,140.3929,Economy,6011.0,641,343.0,1.0,71.6,388,Early,
FL4217,2023-03-06 - 08:13:04,Lufthansa,JFK,NRT,40.6413,-73.7781,35.772,140.3929,Economy,10028.0,716,668.0,0.0,382.85,362,Yes,
FL5151,2023-02-07 - 15:13:18,American,SIN,NRT,1.3644,103.9915,35.772,140.3929,Economy,11019.0,178,,10.0,201.28,97,No,
FL5104,2023-09-03 - 05:30:35,British Airways,LAX,LHR,33.9425,-118.4081,51.47,-0.4543,Economy,6441.0,828,713.0,0.0,152.95,364,Yes,Crew
FL5862,2023-09-01 - 09:48:19,United,SIN,SYD,1.3644,103.9915,-33.9399,151.1753,Economy,5059.0,478,205.0,62.0,371.63,192,No,
FL2161,2023-01-15 - 20:55:05,Air France,ORD,SYD,41.9742,-87.9073,-33.9399,151.1753,Business,6084.0,126,,4.0,60.43,198,No,
FL7851,2023-06-14 - 19:14:14,Ryanair,LHR,SYD,51.47,-0.4543,-33.9399,151.1753,Business,8565.0,548,571.0,31.0,314.03,352,Yes,
FL5203,2023-08-31 - 11:57:11,Air France,JFK,LAX,40.6413,-73.7781,33.9425,-118.4081,Business,6583.0,373,265.0,0.0,173.8,408,Yes,
FL4862,2023-08-08 - 03:04:54,American,FRA,SIN,50.0379,8.5622,1.3644,103.9915,Economy,13884.0,899,568.0,18.0,1492.05,119,Yes,
FL1359,2024-06-13 - 14:39:41,Air France,LAX,CDG,33.9425,-118.4081,49.0097,2.5479,Business,1537.0,79,882.0,0.0,1483.56,386,No,
FL9190,2024-01-15 - 01:46:27,United,SYD,NRT,-33.9399,151.1753,35.772,140.3929,Economy,4193.0,432,224.0,,877.82,224,Yes,
FL1566,2024-02-25 - 08:24:16,Delta,SIN,ORD,1.3644,103.9915,41.9742,-87.9073,Economy,14995.0,254,674.0,6.0,382.15,386,Yes,
