order_id,order_date,customer_country,product_category,product_name,quantity,unit_price,discount_pct,payment_method,order_status,customer_age,customer_lat,customer_lon,review_score,shipping_days,revenue
ORD-100040,2022-01-30 05:16:03.042028,Japan,Toys,Product_148,6,140.19,0,Crypto,Shipped,67,-15.8212,123.9716,4.0,7.0,841.14
ORD-100041,2022-01-30 22:47:57.118078,Germany,Food,Product_47,5,48.45,0,PayPal,Delivered,21,-20.8854,124.1691,,14.0,242.25
ORD-100042,2022-01-31 16:19:51.194129,Mexico,Books,Product_143,4,31.34,25,Bank Transfer,Delivered,68,-23.6161,-61.4723,4.0,17.0,94.02
ORD-100043,2022-02-01 09:51:45.270180,Japan,Books,Product_198,3,12.21,0,Bank Transfer,Delivered,69,-40.4449,-148.3369,2.0,17.0,36.63
ORD-100044,2022-02-02 03:23:39.346230,Mexico,Clothing,Product_47,3,123.25,0,Credit Card,Cancelled,56,18.5066,73.7893,5.0,13.0,369.75
ORD-100045,2022-02-02 20:55:33.422281,Brazil,Toys,Product_78,6,55.71,20,Gift Card,Cancelled,25,-37.2912,-50.3526,5.0,1.0,267.41
ORD-100046,2022-02-03 14:27:27.498332,Germany,Clothing,Product_124,4,14.18,0,Gift Card,Delivered,66,-2.6748,-163.6327,3.0,2.0,56.72
ORD-100047,2022-02-04 07:59:21.574382,France,Clothing,Product_75,6,97.36,15,PayPal,Processing,62,2.2312,-123.1823,,18.0,496.54
ORD-100048,2022-02-05 01:31:15.650433,Canada,Beauty,Product_103,3,64.81,15,Crypto,Shipped,41,-57.2336,-130.6027,,4.0,165.27
ORD-100049,2022-02-05 19:03:09.726484,Australia,,Product_137,4,12.48,15,Gift Card,Returned,70,-57.731,32.0819,5.0,13.0,42.43
ORD-100050,2022-02-06 12:35:03.802535,UK,Sports,Product_90,9,29.32,0,PayPal,Delivered,45,10.2287,143.3223,4.0,1.0,263.88
ORD-100051,2022-02-07 06:06:57.878585,USA,Home & Garden,Product_144,5,18.33,5,PayPal,Shipped,72,33.9647,105.5059,3.0,4.0,87.07
ORD-100052,2022-02-07 23:38:51.954636,France,Electronics,Product_69,7,780.74,5,Gift Card,Delivered,60,67.1892,16.7458,4.0,2.0,5191.92
ORD-100053,2022-02-08 17:10:46.030687,Germany,Books,Product_61,2,62.68,5,PayPal,Delivered,44,-35.8189,-28.0241,5.0,4.0,119.09
ORD-100054,2022-02-09 10:42:40.106737,Australia,Sports,Product_138,5,41.43,10,Credit Card,Returned,18,-46.0601,42.7236,,16.0,186.44
ORD-100055,2022-02-10 04:14:34.182788,France,Electronics,Product_50,9,58.39,0,Credit Card,Delivered,51,-52.9681,-20.2274,5.0,4.0,525.51
ORD-100056,2022-02-10 21:46:28.258839,Germany,Toys,Product_3,3,173.29,0,Gift Card,Delivered,34,-1.1344,-91.4043,3.0,9.0,519.87
ORD-100057,2022-02-11 15:18:22.334889,India,Toys,Product_107,9,29.96,20,Crypto,Delivered,54,24.1249,64.5111,5.0,17.0,215.71
ORD-100058,2022-02-12 08:50:16.410940,India,Toys,Product_113,6,16.32,20,Credit Card,Shipped,55,53.4747,134.3678,5.0,2.0,78.34
ORD-100059,2022-02-13 02:22:10.486991,Mexico,Sports,Product_94,4,91.21,10,Credit Card,Shipped,43,32.1571,-45.7667,5.0,3.0,328.36
ORD-100060,2022-02-13 19:54:04.563042,France,Sports,Product_118,7,26.84,0,Gift Card,Delivered,74,-31.8713,122.9538,4.0,15.0,187.88
ORD-100061,2022-02-14 13:25:58.639092,India,Books,Product_198,8,9.17,25,Bank Transfer,Returned,41,2.339,-24.8105,5.0,,55.02
ORD-100062,2022-02-15 06:57:52.715143,Germany,Home & Garden,Product_81,6,7.26,20,PayPal,Delivered,56,62.8968,-35.5191,,4.0,34.85
ORD-100063,2022-02-16 00:29:46.791194,Mexico,Food,Product_109,5,207.51,15,Credit Card,Delivered,38,-15.89,-169.8032,5.0,12.0,881.92
ORD-100064,2022-02-16 18:01:40.867244,Germany,Clothing,Product_51,6,38.78,5,Bank Transfer,Cancelled,47,7.3286,70.3004,4.0,1.0,221.05
ORD-100065,2022-02-17 11:33:34.943295,Mexico,Toys,Product_147,5,16.32,15,Crypto,Delivered,64,69.4063,110.7009,,17.0,69.36
ORD-100066,2022-02-18 05:05:29.019346,France,Beauty,Product_170,8,25.0,5,Bank Transfer,Delivered,68,39.1856,58.8805,4.0,4.0,190.0
ORD-100067,2022-02-18 22:37:23.095396,Australia,Home & Garden,Product_35,1,87.26,15,Gift Card,Delivered,65,40.945,-125.5101,,4.0,74.17
ORD-100068,2022-02-19 16:09:17.171447,Canada,Beauty,Product_46,7,23.29,0,Crypto,Processing,74,-25.9349,-142.8144,4.0,9.0,163.03
ORD-100069,2022-02-20 09:41:11.247498,Japan,,Product_154,2,5.82,25,Crypto,Delivered,30,-4.0158,26.2292,4.0,10.0,8.73
ORD-100070,2022-02-21 03:13:05.323549,Australia,Books,Product_69,9,48.96,15,Bank Transfer,Cancelled,54,-48.8838,-35.4541,4.0,,374.54
ORD-100071,2022-02-21 20:44:59.399599,Brazil,Books,Product_93,1,141.18,15,Gift Card,Processing,20,21.881,-25.5248,,19.0,120.0
ORD-100072,2022-02-22 14:16:53.475650,Germany,Electronics,Product_64,6,130.29,0,Credit Card,Delivered,49,-45.9964,168.4081,3.0,15.0,781.74
ORD-100073,2022-02-23 07:48:47.551701,Brazil,Beauty,Product_165,9,16.93,25,Bank Transfer,Shipped,52,52.8478,80.6122,4.0,17.0,114.28
ORD-100074,2022-02-24 01:20:41.627751,,Home & Garden,Product_49,1,151.87,15,Credit Card,Delivered,36,49.9648,-31.7564,5.0,7.0,129.09
ORD-100075,2022-02-24 18:52:35.703802,Mexico,Food,Product_149,4,42.76,0,Bank Transfer,Delivered,31,12.0367,-173.1243,4.0,3.0,171.04
ORD-100076,2022-02-25 12:24:29.779853,Japan,Home & Garden,Product_74,4,146.84,0,Credit Card,Processing,65,-40.9426,-167.7255,4.0,,587.36
ORD-100077,2022-02-26 05:56:23.855903,Japan,Sports,Product_192,9,65.92,25,Bank Transfer,Returned,39,-56.5468,66.5293,4.0,16.0,444.96
ORD-100078,2022-02-26 23:28:17.931954,USA,Sports,Product_5,5,5.33,10,Crypto,Delivered,34,47.5557,121.586,4.0,7.0,23.98
ORD-100079,2022-02-27 17:00:12.008005,Japan,Toys,Product_100,5,269.37,25,PayPal,Delivered,21,21.019,74.7729,3.0,16.0,1010.14
ORD-100080,2022-02-28 10:32:06.084056,Canada,Food,Product_70,6,35.24,25,Crypto,Delivered,62,35.9755,-33.8804,4.0,9.0,158.58
ORD-100081,2022-03-01 04:04:00.160106,Japan,Sports,Product_90,1,66.17,15,Credit Card,Delivered,57,-18.986,-168.7911,,1.0,56.24
ORD-100082,2022-03-01 21:35:54.236157,Australia,Books,Product_4,1,6.6,0,Gift Card,Delivered,36,8.7802,168.2646,4.0,3.0,6.6
ORD-100083,2022-03-02 15:07:48.312208,USA,Home & Garden,Product_126,9,60.73,25,Crypto,Delivered,54,40.8685,175.081,1.0,8.0,409.93
ORD-100084,2022-03-03 08:39:42.388258,Australia,Beauty,Product_39,3,124.4,20,PayPal,Shipped,19,2.446,17.7712,5.0,18.0,298.56
ORD-100085,2022-03-04 02:11:36.464309,Australia,Books,Product_163,4,337.78,20,Credit Card,Delivered,32,21.1869,-154.5585,4.0,18.0,1080.9
ORD-100086,2022-03-04 19:43:30.540360,UK,Electronics,Product_129,1,177.77,0,Crypto,Delivered,19,46.6133,14.7501,3.0,19.0,177.77
ORD-100087,2022-03-05 13:15:24.616410,USA,Sports,Product_24,9,64.4,15,Bank Transfer,Processing,28,-30.9452,141.2418,5.0,7.0,492.66
ORD-100088,2022-03-06 06:47:18.692461,Australia,Books,Product_57,8,5.19,15,Gift Card,Processing,62,-51.0996,64.7948,3.0,6.0,35.29
ORD-100089,2022-03-07 00:19:12.768512,UK,Books,Product_100,2,38.81,25,Credit Card,Delivered,40,11.7962,79.1961,,11.0,58.22
ORD-100090,2022-03-07 17:51:06.844563,UK,Electronics,Product_70,8,16.26,0,Crypto,Delivered,27,-51.613,-149.4109,4.0,,130.08
ORD-100091,2022-03-08 11:23:00.920613,USA,Clothing,Product_41,7,43.9,0,Credit Card,Shipped,20,43.4852,-141.6558,5.0,12.0,307.3
ORD-100092,2022-03-09 04:54:54.996664,Brazil,Home & Garden,Product_182,6,7.69,5,Bank Transfer,Delivered,22,37.0935,-134.1544,4.0,1.0,43.83
ORD-100093,2022-03-09 22:26:49.072715,Mexico,Beauty,Product_174,1,25.73,5,PayPal,Delivered,20,59.0312,145.5757,3.0,19.0,24.44
ORD-100094,2022-03-10 15:58:43.148765,Canada,Toys,Product_60,7,17.8,0,Crypto,Shipped,55,26.3409,9.3059,5.0,11.0,124.6
ORD-100095,2022-03-11 09:30:37.224816,Mexico,Clothing,Product_108,7,17.15,0,Credit Card,Delivered,30,-50.9283,104.967,5.0,,120.05
ORD-100096,2022-03-12 03:02:31.300867,Japan,Sports,Product_188,9,17.36,5,Credit Card,Delivered,59,-25.8245,-138.4951,,16.0,148.43
ORD-100097,2022-03-12 20:34:25.376917,Canada,Books,Product_57,1,28.13,25,Credit Card,Delivered,36,49.0708,153.9514,4.0,3.0,21.1
ORD-100098,2022-03-13 14:06:19.452968,Japan,Food,Product_31,2,46.69,5,PayPal,Delivered,57,-37.4371,115.6112,,11.0,88.71
ORD-100099,2022-03-14 07:38:13.529019,Australia,Electronics,Product_84,9,1.65,20,Credit Card,Delivered,67,34.2949,-99.0849,,11.0,11.88
ORD-100100,2022-03-15 01:10:07.605070,Germany,Electronics,Product_152,9,1.91,20,Gift Card,Returned,52,45.335,134.7056,2.0,10.0,13.75
ORD-100101,2022-03-15 18:42:01.681120,USA,Food,Product_36,6,22.06,10,Gift Card,Delivered,41,-15.4349,-85.1606,1.0,2.0,119.12
ORD-100102,2022-03-16 12:13:55.757171,Canada,Home & Garden,Product_158,6,26.12,0,Credit Card,Delivered,41,-16.4898,-106.0776,,5.0,156.72
ORD-100103,2022-03-17 05:45:49.833222,Canada,Clothing,Product_152,4,41.55,0,Gift Card,Delivered,34,15.3034,-84.8722,5.0,8.0,166.2
ORD-100104,2022-03-17 23:17:43.909272,Australia,Toys,Product_108,4,13.83,15,Crypto,Cancelled,57,56.2737,147.5838,4.0,13.0,47.02
ORD-100105,2022-03-18 16:49:37.985323,Brazil,Home & Garden,Product_106,5,33.49,0,Gift Card,Delivered,27,-29.7727,149.6131,5.0,15.0,167.45
ORD-100106,2022-03-19 10:21:32.061374,UK,Food,Product_158,3,38.55,0,Credit Card,Delivered,19,67.0699,-61.5615,,2.0,115.65
ORD-100107,2022-03-20 03:53:26.137424,Australia,Books,Product_86,1,13.72,5,Bank Transfer,Cancelled,61,20.881,73.9563,4.0,,13.03
ORD-100108,2022-03-20 21:25:20.213475,India,Food,Product_135,1,111.74,10,Crypto,Delivered,40,73.9371,63.2683,3.0,8.0,100.57
ORD-100109,2022-03-21 14:57:14.289526,UK,Home & Garden,Product_163,7,40.95,0,PayPal,Delivered,23,-47.9021,110.3625,5.0,19.0,286.65
ORD-100110,2022-03-22 08:29:08.365577,USA,Beauty,Product_183,1,63.84,5,Credit Card,Delivered,19,-42.9141,-73.2566,2.0,1.0,60.65
ORD-100111,2022-03-23 02:01:02.441627,UK,Electronics,Product_14,1,35.97,0,PayPal,Delivered,38,51.5966,3.6499,4.0,8.0,35.97
ORD-100112,2022-03-23 19:32:56.517678,Brazil,Electronics,Product_120,3,413.4,0,Bank Transfer,Delivered,72,56.742,60.3626,,10.0,1240.2
ORD-100113,2022-03-24 13:04:50.593729,UK,Sports,Product_138,4,67.74,15,PayPal,Shipped,73,0.1369,-170.5475,3.0,13.0,230.32
ORD-100114,2022-03-25 06:36:44.669779,USA,Sports,Product_80,4,18.44,0,Credit Card,Delivered,52,36.3996,-44.3741,,5.0,73.76
ORD-100115,2022-03-26 00:08:38.745830,Brazil,Food,Product_144,2,88.69,5,Credit Card,Delivered,66,57.1202,70.5198,3.0,9.0,168.51
ORD-100116,2022-03-26 17:40:32.821881,Mexico,Toys,Product_182,1,4.64,25,Bank Transfer,Delivered,46,-54.1777,-89.0658,5.0,10.0,3.48
ORD-100117,2022-03-27 11:12:26.897931,Canada,Books,Product_106,3,38.23,25,Credit Card,Delivered,24,17.4833,164.7735,4.0,14.0,86.02
ORD-100118,2022-03-28 04:44:20.973982,Canada,Beauty,Product_70,4,48.57,0,Bank Transfer,Delivered,46,55.2199,-169.1419,,11.0,194.28
ORD-100119,2022-03-28 22:16:15.050033,Japan,Clothing,Product_44,3,38.75,15,Bank Transfer,Cancelled,70,-6.2491,164.9114,5.0,14.0,98.81
ORD-100120,2022-03-29 15:48:09.126084,Mexico,Home & Garden,Product_73,8,22.19,10,Credit Card,Delivered,54,-19.1782,-101.965,5.0,3.0,159.77
ORD-100121,2022-03-30 09:20:03.202134,Mexico,Toys,Product_45,1,9.83,10,Gift Card,Shipped,40,47.4204,-162.4241,,16.0,8.85
ORD-100122,2022-03-31 02:51:57.278185,UK,Books,Product_184,2,12.84,25,Bank Transfer,Delivered,50,-14.6688,-74.7093,3.0,,19.26
ORD-100123,2022-03-31 20:23:51.354236,Canada,Sports,Product_107,7,37.43,5,Credit Card,Delivered,25,-59.5715,103.0616,2.0,5.0,248.91
ORD-100124,2022-04-01 13:55:45.430286,USA,Food,Product_84,4,8.7,0,Gift Card,Delivered,29,69.5423,90.8791,2.0,7.0,34.8
ORD-100125,2022-04-02 07:27:39.506337,France,Home & Garden,Product_82,8,277.05,5,Bank Transfer,Delivered,63,19.9366,-104.8175,5.0,17.0,2105.58
ORD-100126,2022-04-03 00:59:33.582388,France,Sports,Product_107,3,1.39,10,Gift Card,Delivered,65,50.6349,-109.1556,,11.0,3.75
ORD-100127,2022-04-03 18:31:27.658438,Brazil,Food,Product_185,6,22.46,0,Crypto,Delivered,27,51.4157,51.3288,4.0,12.0,134.76
ORD-100128,2022-04-04 12:03:21.734489,Canada,Home & Garden,Product_21,9,37.81,0,Crypto,Processing,32,-51.0346,-15.0902,,2.0,340.29
ORD-100129,2022-04-05 05:35:15.810540,Canada,Clothing,Product_196,1,60.88,0,Gift Card,Delivered,70,-36.9339,105.2244,1.0,19.0,60.88
ORD-100130,2022-04-05 23:07:09.886591,France,,Product_178,1,11.03,15,Bank Transfer,Delivered,41,-17.9987,-171.3122,3.0,5.0,9.38
ORD-100131,2022-04-06 16:39:03.962641,Canada,Home & Garden,Product_161,8,129.17,25,Credit Card,Delivered,43,-16.7056,39.7483,5.0,11.0,775.02
ORD-100132,2022-04-07 10:10:58.038692,UK,Beauty,Product_7,3,6.22,20,PayPal,Delivered,64,28.9361,83.0419,2.0,19.0,14.93
ORD-100133,2022-04-08 03:42:52.114743,India,Toys,Product_70,5,16.79,20,Credit Card,Delivered,59,24.1229,177.619,,7.0,67.16
ORD-100134,2022-04-08 21:14:46.190793,Germany,Electronics,Product_127,1,69.75,20,PayPal,Delivered,70,6.7696,64.3614,5.0,6.0,55.8
ORD-100135,2022-04-09 14:46:40.266844,Mexico,Beauty,Product_143,5,115.38,0,PayPal,Delivered,56,-31.4794,-96.5357,5.0,11.0,576.9
ORD-100136,2022-04-10 08:18:34.342895,Japan,Beauty,Product_160,6,6.14,0,Bank Transfer,Shipped,20,-8.4322,-141.053,4.0,14.0,36.84
ORD-100137,2022-04-11 01:50:28.418945,Brazil,Toys,Product_148,8,791.59,10,Gift Card,Cancelled,19,13.3852,50.73,,4.0,5699.45
ORD-100138,2022-04-11 19:22:22.494996,India,Electronics,Product_143,3,11.28,0,Credit Card,Delivered,23,3.178,8.3459,4.0,8.0,33.84
ORD-100139,2022-04-12 12:54:16.571047,France,Beauty,Product_176,3,6.86,20,Gift Card,Delivered,38,-42.8155,143.6923,2.0,9.0,16.46
ORD-100140,2022-04-13 06:26:10.647098,Mexico,Home & Garden,Product_199,9,60.54,20,Crypto,Cancelled,26,27.6839,81.5789,5.0,2.0,435.89
ORD-100141,2022-04-13 23:58:04.723148,Canada,Home & Garden,Product_149,4,21.8,25,Bank Transfer,Delivered,27,-50.138,3.5073,,11.0,65.4
ORD-100142,2022-04-14 17:29:58.799199,Japan,Home & Garden,Product_170,4,18.26,5,Bank Transfer,Delivered,53,-8.9437,-34.7078,,,69.39
ORD-100143,2022-04-15 11:01:52.875250,Canada,Electronics,Product_154,7,67.68,20,Crypto,Delivered,20,35.854,-34.4251,4.0,4.0,379.01
ORD-100144,2022-04-16 04:33:46.951300,USA,Beauty,Product_120,2,5.3,15,Credit Card,Delivered,58,-57.2968,-98.5305,5.0,,9.01
ORD-100145,2022-04-16 22:05:41.027351,USA,Food,Product_128,8,4.29,20,Crypto,Delivered,41,16.9477,-173.7627,,1.0,27.46
ORD-100146,2022-04-17 15:37:35.103402,Japan,Electronics,Product_142,6,16.17,5,Credit Card,Delivered,39,-14.8397,26.9678,1.0,12.0,92.17
ORD-100147,2022-04-18 09:09:29.179452,Japan,Home & Garden,Product_57,3,120.72,20,PayPal,Delivered,66,-58.8077,-103.5307,2.0,19.0,289.73
ORD-100148,2022-04-19 02:41:23.255503,France,Toys,Product_165,9,17.03,15,Bank Transfer,Delivered,31,-34.2983,-105.0023,4.0,5.0,130.28
ORD-100149,2022-04-19 20:13:17.331554,Japan,Beauty,Product_58,5,225.65,10,Credit Card,Processing,59,67.0277,-134.8628,4.0,,1015.42
ORD-100150,2022-04-20 13:45:11.407605,UK,Beauty,Product_21,8,139.94,0,Gift Card,Delivered,62,10.3551,-111.7456,3.0,11.0,1119.52
ORD-100151,2022-04-21 07:17:05.483655,Canada,Sports,Product_82,7,46.5,15,Gift Card,Delivered,61,74.6257,-168.5559,5.0,4.0,276.68
ORD-100152,2022-04-22 00:48:59.559706,India,Sports,Product_69,8,49.78,5,Bank Transfer,Delivered,44,10.8503,62.7233,5.0,15.0,378.33
ORD-100153,2022-04-22 18:20:53.635757,Australia,Clothing,Product_131,7,46.45,0,Crypto,Shipped,50,13.4314,-35.497,5.0,12.0,325.15
ORD-100154,2022-04-23 11:52:47.711807,Japan,Food,Product_87,3,40.11,0,Crypto,Processing,39,-7.1012,22.1489,4.0,,120.33
ORD-100155,2022-04-24 05:24:41.787858,Brazil,Food,Product_165,2,21.34,5,Credit Card,Shipped,46,-18.1445,49.3047,4.0,16.0,40.55
ORD-100156,2022-04-24 22:56:35.863909,USA,Books,Product_49,7,24.53,25,Crypto,Delivered,36,-26.0414,170.0944,4.0,8.0,128.78
ORD-100157,2022-04-25 16:28:29.939959,,,Product_147,3,9.17,0,Bank Transfer,Shipped,36,-13.6382,-155.4243,4.0,8.0,27.51
ORD-100158,2022-04-26 10:00:24.016010,Mexico,Sports,Product_115,3,2.33,20,Credit Card,Shipped,23,2.0799,-29.5496,2.0,6.0,5.59
ORD-100159,2022-04-27 03:32:18.092061,Australia,Electronics,Product_89,2,124.57,15,PayPal,Delivered,62,-34.0811,-91.4767,5.0,3.0,211.77
ORD-100160,2022-04-27 21:04:12.168112,India,Food,Product_85,4,39.99,5,Crypto,Delivered,36,-29.6419,-8.3837,4.0,8.0,151.96
ORD-100161,2022-04-28 14:36:06.244162,Australia,Sports,Product_128,8,33.36,10,Crypto,Delivered,30,-23.3415,151.37,3.0,10.0,240.19
ORD-100162,2022-04-29 08:08:00.320213,Japan,,Product_140,1,53.42,0,Credit Card,Shipped,43,0.6501,80.6343,3.0,5.0,53.42
ORD-100163,2022-04-30 01:39:54.396264,France,Beauty,Product_189,1,12.25,5,Gift Card,Delivered,39,28.1298,58.3019,,11.0,11.64
ORD-100164,2022-04-30 19:11:48.472314,USA,Food,Product_169,5,9.96,20,Crypto,Delivered,38,55.5797,-21.1515,5.0,4.0,39.84
ORD-100165,2022-05-01 12:43:42.548365,USA,Clothing,Product_161,5,23.56,20,Bank Transfer,Cancelled,53,-21.2372,61.6005,3.0,17.0,94.24
ORD-100166,2022-05-02 06:15:36.624416,Mexico,Beauty,Product_178,1,171.01,0,Crypto,Processing,73,-35.1967,-168.3449,5.0,3.0,171.01
ORD-100167,2022-05-02 23:47:30.700466,France,Toys,Product_117,6,8.15,0,PayPal,Cancelled,19,-8.8556,31.0459,4.0,18.0,48.9
ORD-100168,2022-05-03 17:19:24.776517,Canada,Toys,Product_196,1,1.42,5,Crypto,Returned,64,60.7417,19.3596,5.0,,1.35
ORD-100169,2022-05-04 10:51:18.852568,Germany,Beauty,Product_127,5,17.71,0,Gift Card,Delivered,61,-58.6688,-55.2094,4.0,12.0,88.55
ORD-100170,2022-05-05 04:23:12.928619,UK,Food,Product_71,9,130.48,25,Crypto,Shipped,47,31.5123,-107.4549,5.0,16.0,880.74
ORD-100171,2022-05-05 21:55:07.004669,USA,Books,Product_86,5,4.14,5,Credit Card,Delivered,44,4.4166,110.72,3.0,14.0,19.66
ORD-100172,2022-05-06 15:27:01.080720,Brazil,Sports,Product_33,6,8.03,0,Crypto,Cancelled,24,-38.2588,-160.6096,4.0,16.0,48.18
ORD-100173,2022-05-07 08:58:55.156771,USA,Electronics,Product_81,8,45.43,25,Gift Card,Delivered,37,-16.6621,-154.9178,2.0,4.0,272.58
